producer,name,vintage,varietal,region,country,size_ml,format,currency,quantity,unit_cost,bin,section
Bodega Campos,Colline d'Oro Garnacha,1986,Garnacha,Priorat,Spain,750,Bottle,USD,51,1656.24,S33-8,Reds
Rusted Crossing Cellars,Single Vineyard Malbec,2008,Malbec,Mendoza,Argentina,750,Bottle,USD,40,8.66,D30-7,Reds
Maison Aubert,Quinta da Serra,2015,Gewurztraminer,Alsace,France,750,Bottle,USD,21,583.24,B25-1,Whites
Amber Farms Winery,Le Clos Perdu Rhone Blend,1989,Rhone Blend,Rhone Valley,France,750,Bottle,GBP,51,10.68,C16-2,Reds
Tenuta Moretti,Clos Saint-Martin,2014,Nero d'Avola,Sicily,Italy,750,Bottle,USD,23,32.38,A14-8,Reds
Weingut Richter,Encosta Dourada Riesling,2019,Riesling,Wachau,Austria,750,Bottle,USD,4,20.85,R15-6,Whites
Bodegas Alvarez,Clos Saint-Martin,1985,Garnacha,Rioja,Spain,750,Bottle,USD,15,195.70,A7-2,Reds
Caldwell Wines,Pinot Noir,2007,Pinot Noir,Sonoma County,United States,750,Bottle,USD,8,96.29,R5-5,Reds
Fattoria Bianchi,Vale do Rio Garganega,1993,Garganega,Veneto,Italy,750,Bottle,GBP,85,812.33,S10-9,Whites
Clos Moreau,Les Chaumes Pinot Noir,2005,Pinot Noir,Burgundy,France,750,Bottle,USD,7,636.64,D31-7,Reds
Tenuta Romano,Sonnenlage,2010,Barbera,Piedmont,Italy,750,Bottle,USD,108,43.65,C5-2,Reds
Fattoria Conti,Clos des Cerisiers Nero d'Avola,1988,Nero d'Avola,Sicily,Italy,750,Bottle,USD,11,1899.05,B7-5,Reds
Half Moon Rise Cellars,Cabernet Sauvignon,1994,Cabernet Sauvignon,Napa Valley,United States,750,Bottle,USD,28,12.99,B16-12,Reds
Harrison Estate,Old Vine Pinot Noir,1984,Pinot Noir,Sonoma County,United States,750,Bottle,USD,19,473.61,D13-8,Reds
Broken Wheel Crossing Estate,Old Vine Shiraz,1997,Shiraz,Barossa Valley,Australia,750,Bottle,USD,1,480.76,A10-7,Reds
Granite Hollow Cellars,Old Vine Pinot Noir,2000,Pinot Noir,Central Otago,New Zealand,750,Bottle,GBP,54,9.65,A25-4,Reds
Bodega Reyes,Les Chaumes Albarino,1998,Albarino,Rias Baixas,Spain,750,Bottle,USD,1,42.60,A12-7,Whites
Sundown Meadows Vineyard,Sonnenlage Riesling,2000,Riesling,Wachau,Austria,750,Bottle,USD,4,2113.85,A16-7,Whites
Prentice Winery,Cabernet Sauvignon,2005,Cabernet Sauvignon,Margaret River,Australia,750,Bottle,USD,68,533.01,B32-4,Reds
Finca Salinas,Vigna del Vento,2016,Carinena,Priorat,Spain,750,Bottle,GBP,31,33.88,S15-4,Reds
Podere Villa,Terrassenlage Cabernet Sauvignon,2014,Cabernet Sauvignon,Tuscany,Italy,750,Bottle,EUR,18,173.65,D14-10,Reds
Harrison Wines,Chardonnay,1984,Chardonnay,Margaret River,Australia,750,Bottle,USD,21,43.68,S30-12,Whites
Bodega Ruiz,Le Clos Perdu Tempranillo,1982,Tempranillo,Rioja,Spain,750,Bottle,USD,14,1188.25,D17-4,Reds
Foggy Bend Bend Vineyard,Estate Chardonnay,1983,Chardonnay,Sonoma County,United States,750,Bottle,USD,49,136.62,S1-2,Whites
Hartley Wines,Single Vineyard Chardonnay,1984,Chardonnay,Napa Valley,United States,750,Bottle,USD,46,120.71,S39-7,Whites
Bodega Navarro,Cuesta del Rio Garnacha,1976,Garnacha,Priorat,Spain,750,Bottle,USD,24,203.36,C22-10,Reds
Bodega Rivas,Old Vine Malbec,2020,Malbec,Mendoza,Argentina,750,Bottle,USD,13,17.49,D7-1,Reds
Tenuta Romano,Cuesta del Rio,2010,Grillo,Sicily,Italy,750,Bottle,EUR,66,347.26,B32-2,Cellar
Winslow Cellars,Shiraz,2006,Shiraz,Barossa Valley,Australia,750,Bottle,USD,78,322.37,D16-5,Reds
Quinta do Silva,10 Year Tawny,,Port Blend,Douro,Portugal,750,Bottle,USD,44,31.90,C10-4,Fortified
Domaine Aubert,Ribera Alta Chenin Blanc,2014,Chenin Blanc,Loire Valley,France,750,Bottle,EUR,5,3683.63,B19-6,Whites
Marais Vineyards,Old Vine Chenin Blanc,2017,Chenin Blanc,Stellenbosch,South Africa,750,Bottle,USD,8,30.04,S32-2,Whites
Botha Vineyards,Cabernet Sauvignon Reserve,2014,Cabernet Sauvignon,Stellenbosch,South Africa,750,Bottle,USD,1,18.11,B38-6,Reds
Blackwood Estate,Grenache Reserve,1978,Grenache,Barossa Valley,Australia,750,Bottle,USD,93,8.59,D35-11,Reds
Bodega Reyes,Les Fournaux Albarino,1977,Albarino,Rias Baixas,Spain,750,Bottle,EUR,3,68.54,S33-1,Whites
Weingut Richter,Encosta Dourada Riesling,2019,Riesling,Wachau,Austria,750,Bottle,GBP,47,28.34,S35-9,Whites
Whistling Ridge Winery,Clos du Moulin Pinot Gris,1978,Pinot Gris,Alsace,France,750,Bottle,USD,70,907.22,R16-6,Whites
Amber Creek Vineyard,Weinberg Reserve,1985,Riesling,Rheingau,Germany,750,Bottle,EUR,5,19.51,R39-3,Whites
Bodegas Salinas,Steilhang Reserve,2019,Tempranillo,Ribera del Duero,Spain,750,Bottle,USD,44,483.77,R36-9,Reds
Weingut Kellermann,Encosta Dourada,2021,Riesling,Rheingau,Germany,750,Bottle,USD,96,57.92,R28-1,Whites
Harrison Vineyards,Pinot Gris,2006,Pinot Gris,Willamette Valley,United States,750,Bottle,USD,46,1815.07,C25-4,Whites
Cantina Ricci,El Rincon Grillo,1998,Grillo,Sicily,Italy,750,Bottle,GBP,38,215.51,S13-9,Cellar
Quinta Ferreira,Cuesta del Rio,2011,Touriga Nacional,Douro,Portugal,750,Bottle,USD,3,160.54,C37-2,Reds
Tenuta Moretti,Vale do Rio Garganega,1987,Garganega,Veneto,Italy,750,Bottle,USD,13,1945.08,B26-7,Whites
Finca Fernandez,Estate Pinot Noir,2016,Pinot Noir,Casablanca Valley,Chile,750,Bottle,USD,17,18.36,S16-12,Reds
Domaine Bonnet,Ladera Antigua,1986,Gewurztraminer,Alsace,France,750,Bottle,USD,4,58.25,B9-2,Whites
Weingut Vogel,Sonnenlage Riesling,2018,Riesling,Mosel,Germany,750,Bottle,USD,4,84.18,D31-3,Whites
Fattoria Bianchi,Podere del Sole,1990,Barbera,Piedmont,Italy,750,Bottle,EUR,41,16.95,B34-6,Reds
Weingut Wagner,Quinta da Serra Riesling,2004,Riesling,Rheingau,Germany,750,Bottle,GBP,11,127.15,C33-10,Whites
du Plessis Cellars,Cabernet Sauvignon,1989,Cabernet Sauvignon,Stellenbosch,South Africa,750,Bottle,EUR,38,30.74,R25-10,Reds
Casa Ferreira,Fine Ruby Reserve,,Port Blend,Douro,Portugal,750,Bottle,USD,5,443.52,R14-1,Fortified
Domaine Aubert,Costa Alta Chenin Blanc,1989,Chenin Blanc,Loire Valley,France,750,Bottle,USD,46,397.20,A5-2,Whites
Raven Orchard Cellars,Costa Alta,2002,Riesling,Mosel,Germany,750,Bottle,USD,25,2836.55,B3-1,Whites
Weingut Richter,Terra Bruna Riesling,2008,Riesling,Mosel,Germany,750,Bottle,GBP,11,227.34,A27-4,Whites
Fattoria Bianchi,La Combe aux Loups Garganega,1980,Garganega,Veneto,Italy,750,Bottle,USD,7,115.87,B11-3,Whites
Thistledown Bend Vineyards,Pinot Noir Reserve,2013,Pinot Noir,Willamette Valley,United States,750,Bottle,USD,14,668.36,R40-5,Reds
Tenuta Romano,Ribera Alta Nero d'Avola,1989,Nero d'Avola,Sicily,Italy,750,Bottle,USD,13,53.27,D16-11,Reds
Blackwood Cellars,Estate Chardonnay,2005,Chardonnay,Sonoma County,United States,750,Bottle,EUR,22,34.88,A26-5,Whites
Bodega Ruiz,Colline d'Oro Garnacha,2018,Garnacha,Rioja,Spain,750,Bottle,USD,11,20.86,D11-6,Reds
Sundown Hill Winery,Terrassenlage Grenache,1975,Grenache,Rhone Valley,France,750,Bottle,USD,106,731.81,S26-6,Reds
Weingut Steiner,La Croix Blanche Riesling,1998,Riesling,Wachau,Austria,750,Bottle,USD,108,646.32,D19-1,Whites
Crooked Draw Wine Co.,Pinot Noir Reserve,1998,Pinot Noir,Willamette Valley,United States,750,Bottle,USD,11,227.39,B11-11,Reds
Podere Barbieri,La Petite Combe,1983,Corvina,Veneto,Italy,750,Bottle,USD,19,681.15,B18-5,Reds
Hartley Estate,Estate Cabernet Sauvignon,1984,Cabernet Sauvignon,Margaret River,Australia,3000,Double Magnum,USD,41,174.17,A9-8,Reds
Whitfield Vineyards,Single Vineyard Pinot Noir,2001,Pinot Noir,Sonoma County,United States,750,Bottle,USD,81,252.95,A32-9,Reds
Finca Rivas,Single Vineyard Cabernet Sauvignon,2022,Cabernet Sauvignon,Colchagua Valley,Chile,750,Bottle,GBP,54,1156.15,C34-8,Reds
Domaine Bonnet,Terra Bruna Pinot Gris,2008,Pinot Gris,Alsace,France,750,Bottle,USD,78,39.18,A39-1,Whites
Weingut Richter,Ladera Antigua,2010,Riesling,Rheingau,Germany,750,Bottle,USD,12,258.43,R38-5,Whites
Domaine Aubert,Blanc de Noirs NV,,Champagne Blend,Champagne,France,750,Bottle,USD,11,70.50,C17-5,Sparkling
Ashworth Vineyards,Grenache,1986,Grenache,Barossa Valley,Australia,750,Bottle,USD,14,4355.53,C16-5,Reds
Sable Meadows Winery,La Croix Blanche,2021,Touriga Nacional,Douro,Portugal,750,Bottle,GBP,1,874.79,D32-9,Reds
Sawyer Winery,Single Vineyard Pinot Noir,2021,Pinot Noir,Willamette Valley,United States,750,Bottle,USD,23,120.17,B40-9,Reds
Quinta da Silva,Fine Ruby Reserve,NV,Port Blend,Douro,Portugal,750,Bottle,USD,13,3846.54,D2-10,Fortified
Half Moon Pass Estate,Single Vineyard Pinot Noir,2021,Pinot Noir,Willamette Valley,United States,750,Bottle,EUR,18,223.87,B40-12,Reds
Weathered Creek Winery,Cuesta del Rio,2016,Cabernet Franc,Loire Valley,France,750,Bottle,USD,56,13.33,A20-7,Reds
Hartley Wines,Single Vineyard Chardonnay,1984,Chardonnay,Napa Valley,United States,750,Bottle,USD,2,134.11,S35-8,Whites
Caldwell Vineyards,Sauvignon Blanc,2008,Sauvignon Blanc,Marlborough,New Zealand,750,Bottle,USD,103,43.70,R27-8,Whites
Vina Aguirre,Pinot Noir,2000,Pinot Noir,Casablanca Valley,Chile,750,Bottle,USD,3,3424.34,B34-7,Reds
Cantina Ricci,La Combe aux Loups Nero d'Avola,2014,Nero d'Avola,Sicily,Italy,750,Bottle,USD,30,51.16,C21-5,Reds
Weingut Steiner,Clos de la Chapelle,2018,Gruner Veltliner,Wachau,Austria,750,Bottle,EUR,23,1194.31,R15-7,Whites
Weingut Kellermann,El Rincon,1987,Riesling,Rheingau,Germany,750,Bottle,USD,2,2577.54,A30-11,Whites
Finca Delgado,Ribera Alta Albarino,1983,Albarino,Rias Baixas,Spain,750,Bottle,USD,24,3889.78,A25-5,Whites
Hartley Estate,Single Vineyard Cabernet Sauvignon,2022,Cabernet Sauvignon,Margaret River,Australia,750,Bottle,USD,86,261.78,A16-9,Reds
Quinta da Rocha,White Port,,Port Blend,Douro,Portugal,750,Bottle,USD,1,288.37,R5-8,Fortified
Bodega Ibarra,Old Vine Carmenere,1998,Carmenere,Colchagua Valley,Chile,750,Bottle,USD,57,103.72,B37-6,Reds
Prentice Cellars,Estate Merlot,1988,Merlot,Napa Valley,United States,750,Bottle,USD,51,604.94,R22-1,Reds
Domaine Lefevre,Brut Reserve,,Champagne Blend,Champagne,France,750,Bottle,USD,41,17.33,S8-10,Sparkling
Marais Estate,Estate Cabernet Sauvignon,1979,Cabernet Sauvignon,Stellenbosch,South Africa,750,Bottle,GBP,33,1200.57,S24-5,Reds
Bodegas Cano,Clos du Moulin Carinena,1983,Carinena,Priorat,Spain,750,Bottle,USD,4,12.32,D29-11,Reds
Hartley Vineyards,Pinot Noir,1975,Pinot Noir,Central Otago,New Zealand,750,Bottle,USD,49,68.34,B10-4,Reds
Rusted Bottom Vineyards,La Petite Combe Nero d'Avola,2009,Nero d'Avola,Sicily,Italy,750,Bottle,USD,7,30.59,D31-4,Reds
Ashworth Vineyards,Single Vineyard Shiraz,1983,Shiraz,Barossa Valley,Australia,750,Bottle,USD,6,1171.55,C3-10,Reds
Hartley Wines,Merlot Reserve,2006,Merlot,Napa Valley,United States,750,Bottle,USD,62,1630.89,S4-12,Reds
Domaine Aubert,Podere del Sole,2013,Sauvignon Blanc,Loire Valley,France,750,Bottle,USD,6,1951.57,C26-7,Whites
Finca Delgado,Old Vine Malbec,1997,Malbec,Mendoza,Argentina,750,Bottle,USD,29,715.45,R15-2,Reds
Bodega Reyes,Costa Alta Albarino,1982,Albarino,Rias Baixas,Spain,750,Bottle,USD,56,102.21,B18-11,Whites
Finca Aguirre,Old Vine Malbec,2022,Malbec,Mendoza,Argentina,750,Bottle,GBP,26,323.46,A1-1,Reds
Clos Riviere,Terra Bruna,1986,Chardonnay,Burgundy,France,750,Bottle,USD,1,80.77,C29-5,Whites
Maison Chapelle,Costa Alta Pinot Noir,2004,Pinot Noir,Burgundy,France,750,Bottle,EUR,1,30.48,B21-2,Reds
Domaine Chapelle,La Croix Blanche,1981,Merlot,Bordeaux,France,750,Bottle,USD,18,733.89,C33-10,Reds
Silent Bend Cellars,Le Clos Perdu,1988,Rhone Blend,Rhone Valley,France,750,Bottle,USD,1,238.37,A32-10,Reds
Weathered Bluff Wine Co.,Alte Reben Corvina,1999,Corvina,Veneto,Italy,750,Bottle,USD,20,167.67,R10-3,Reds
Foggy Bend Pass Vineyard,Single Vineyard Malbec,1989,Malbec,Mendoza,Argentina,750,Bottle,USD,6,355.61,S18-2,Reds
Finca Delgado,Ribera Alta Albarino,1983,Albarino,Rias Baixas,Spain,750,Bottle,USD,6,220.36,S30-3,Whites
Bodega Cano,Amontillado,,Palomino,Jerez,Spain,750,Bottle,USD,19,29.74,B39-12,Fortified
Stonebridge Crossing Estate,Old Vine Chenin Blanc,2021,Chenin Blanc,Stellenbosch,South Africa,750,Bottle,USD,19,708.00,D36-7,Whites
Botha Cellars,Single Vineyard Chenin Blanc,2013,Chenin Blanc,Stellenbosch,South Africa,750,Bottle,USD,24,64.64,A36-5,Whites
Sawyer Winery,Single Vineyard Pinot Noir,2013,Pinot Noir,Willamette Valley,United States,750,Bottle,USD,93,1279.66,A23-6,Reds
Bridle Flat Estate,Ladera Antigua Nero d'Avola,2012,Nero d'Avola,Sicily,Italy,750,Bottle,USD,38,1898.53,S35-8,Reds
Podere Villa,Steilhang Reserve,2022,Nero d'Avola,Sicily,Italy,750,Bottle,USD,15,174.06,S4-8,Reds
Colgin Cellars,IX Estate,2015,Cabernet Sauvignon,Napa Valley,United States,750,Bottle,USD,57,175.89,A4-2,Reds
Clos Moreau,Podere del Sole Pinot Noir,2001,Pinot Noir,Burgundy,France,750,Bottle,USD,8,12.97,S15-3,Reds
Casa Silva,20 Year Tawny,,Port Blend,Douro,Portugal,750,Bottle,USD,64,722.93,R29-6,Fortified
Clos Moreau,Podere del Sole Pinot Noir,2001,Pinot Noir,Burgundy,France,750,Bottle,USD,97,3960.58,C40-4,Reds
Sinclair Wines,Single Vineyard Sauvignon Blanc,1987,Sauvignon Blanc,Marlborough,New Zealand,750,Bottle,EUR,7,24.91,A3-2,Whites
Domaine Perrin,Vina del Alto Gewurztraminer,2015,Gewurztraminer,Alsace,France,750,Bottle,GBP,71,13.64,D33-12,Whites
Cantina Greco,La Croix Blanche,2021,Grillo,Sicily,Italy,750,Bottle,USD,5,48.72,C7-4,Cellar
Finca Fernandez,Pinot Noir Reserve,1975,Pinot Noir,Casablanca Valley,Chile,750,Bottle,USD,54,142.89,D26-4,Reds
Bodega Alvarez,Fino,,Palomino,Jerez,Spain,750,Bottle,USD,97,205.66,C10-12,Fortified
Finca Delgado,Sonnenlage,1990,Tempranillo,Rioja,Spain,750,Bottle,USD,56,168.36,D5-1,Reds
Podere Villa,Cuesta del Rio,2001,Sangiovese,Tuscany,Italy,750,Bottle,USD,15,9.50,C29-4,Reds
Raven Flat Vineyard,Terra Bruna Touriga Nacional,2015,Touriga Nacional,Douro,Portugal,750,Bottle,USD,36,1776.96,S35-4,Reds
Bodegas Ruiz,Podere del Sole Tempranillo,1978,Tempranillo,Ribera del Duero,Spain,750,Bottle,EUR,20,346.46,S27-3,Reds
Finca Salinas,Sonnenlage Carinena,1994,Carinena,Priorat,Spain,750,Bottle,EUR,32,2406.89,S13-7,Reds
Weathered Gulch Cellars,Encosta Dourada,1978,Tempranillo,Ribera del Duero,Spain,750,Bottle,USD,1,272.55,R11-12,Reds
Hartley Cellars,Estate Pinot Noir,2018,Pinot Noir,Willamette Valley,United States,750,Bottle,USD,76,816.35,A4-12,Reds
Sutherland Wines,Estate Shiraz,1996,Shiraz,Barossa Valley,Australia,750,Bottle,USD,79,237.09,B15-5,Reds
Ravenscroft Vineyards,Grenache,1988,Grenache,Barossa Valley,Australia,750,Bottle,USD,48,4554.94,R15-12,Reds
Bodegas Alvarez,Les Fournaux Albarino,1981,Albarino,Rias Baixas,Spain,750,Bottle,GBP,50,3916.34,R13-3,Whites
Maison Bonnet,Sonnenlage,2007,Rhone Blend,Rhone Valley,France,750,Bottle,USD,29,3063.93,B37-9,Reds
Fairweather Estate,Zinfandel,2006,Zinfandel,Sonoma County,United States,750,Bottle,USD,69,30.10,D9-3,Reds
Chateau Moreau,Les Terrasses,1976,Cabernet Franc,Loire Valley,France,750,Bottle,USD,40,2741.55,D11-1,Reds
Joubert Wines,Estate Cabernet Sauvignon,2002,Cabernet Sauvignon,Stellenbosch,South Africa,750,Bottle,USD,53,124.70,B16-6,Reds
Bodegas Cano,Oloroso,,Palomino,Jerez,Spain,750,Bottle,USD,55,2675.91,B12-4,Fortified
Blackwood Cellars,Chardonnay,2009,Chardonnay,Sonoma County,United States,750,Bottle,EUR,42,3248.75,A29-9,Whites
Iron Gate Orchard Vineyards,Single Vineyard Cabernet Sauvignon,1989,Cabernet Sauvignon,Colchagua Valley,Chile,750,Bottle,USD,4,354.04,R27-10,Reds
Quinta Nogueira,Vigna del Vento,2013,Touriga Nacional,Douro,Portugal,750,Bottle,USD,95,275.19,R4-3,Reds
Chateau Fontaine,Les Chaumes,2006,Pinot Noir,Burgundy,France,750,Bottle,USD,40,404.41,B30-4,Reds
Blackwood Vineyards,Single Vineyard Merlot,1982,Merlot,Napa Valley,United States,750,Bottle,USD,9,1537.52,R30-11,Reds
Fattoria Conti,Terra Bruna Dolcetto,1989,Dolcetto,Piedmont,Italy,750,Bottle,USD,71,1118.38,A39-6,Reds
Botha Vineyards,Cabernet Sauvignon Reserve,2015,Cabernet Sauvignon,Stellenbosch,South Africa,750,Bottle,USD,8,737.21,S10-5,Reds
Sable Hill Wine Co.,Vale do Rio Pinot Noir,1984,Pinot Noir,Burgundy,France,750,Bottle,USD,21,2157.37,B6-12,Reds
Domaine Aubert,Vale do Rio,2012,Cabernet Franc,Loire Valley,France,750,Bottle,USD,43,3172.83,S5-8,Reds
Bodega Fernandez,Single Vineyard Carmenere,1975,Carmenere,Colchagua Valley,Chile,750,Bottle,USD,1,495.88,C37-6,Reds
Weingut Hoffmann,Vigneto delle Rose Riesling,1994,Riesling,Wachau,Austria,750,Bottle,USD,49,66.16,S14-9,Whites
Finca Reyes,Terrassenlage,1977,Carinena,Priorat,Spain,750,Bottle,USD,105,388.46,D11-5,Reds
Domaine Chapelle,Ladera Antigua Bordeaux Blend,1976,Bordeaux Blend,Bordeaux,France,750,Bottle,USD,62,73.24,C30-10,Reds
Bodega Reyes,Weinberg Reserve,2000,Tempranillo,Rioja,Spain,750,Bottle,USD,59,79.22,A20-7,Reds
Maison Aubert,Clos de la Chapelle,2020,Riesling,Alsace,France,750,Bottle,USD,36,9.19,S11-12,Whites
Holloway Vineyards,Single Vineyard Cabernet Sauvignon,2012,Cabernet Sauvignon,Napa Valley,United States,750,Bottle,USD,44,235.08,D40-5,Reds
Quinta Pereira,Clos de la Chapelle Touriga Nacional,2014,Touriga Nacional,Douro,Portugal,750,Bottle,USD,57,219.11,C9-8,Reds
Prentice Vineyards,Sauvignon Blanc,1995,Sauvignon Blanc,Marlborough,New Zealand,750,Bottle,USD,55,15.41,C30-10,Whites
Hollow Pass Winery,Les Grandes Vignes,2014,Touriga Nacional,Douro,Portugal,750,Bottle,USD,49,716.24,C19-8,Reds
Sutherland Cellars,Pinot Noir,2004,Pinot Noir,Central Otago,New Zealand,750,Bottle,GBP,36,317.69,B21-11,Reds
Marrow Rise Cellars,Chenin Blanc Reserve,1991,Chenin Blanc,Stellenbosch,South Africa,750,Bottle,USD,67,993.67,B18-10,Whites
Maison Marchand,Brut Reserve,,Champagne Blend,Champagne,France,750,Bottle,USD,29,480.25,S7-7,Sparkling
Whitfield Vineyards,Single Vineyard Pinot Noir,2001,Pinot Noir,Sonoma County,United States,750,Bottle,USD,1,81.29,B38-1,Reds
